	indicator	erytrocyty	smoker	weight	trombocyty	alp	hbver	etytr	relationship	ssn	leukocyty	ast	hematokrit	er-cv	hemoglobin	name	alt
80	1.00000	9.59044	yes	98.03224	8.28093	78.68025	8.55412	5.72536	divoced	890-05-7795	7.13071	53.78422	6.86427	49.04007	5.70374	Bryan Wood	5.31751
81	0.00000	8.32807	no	71.33482	5.37263	84.17013	5.83292	5.21570	married	514-37-4683	8.21238	44.64699	5.83555	72.17213	6.32227	Robin Coffey	2.06809
82	0.00000	9.10319	no	34.74089	4.91557	92.20601	8.54680	5.81798	divoced	594-58-9079	6.06094	44.66047	6.14281	64.08309	5.94069	Charlene Cannon	3.37890
83	0.00000	7.94213	no	81.80067	7.11799	72.94952	7.42715	10.63802	widowed	291-77-7179	3.42051	45.05659	6.91653	50.19041	7.05260	Manuel Vargas	1.46320
84	1.00000	8.09863	Y	55.05590	7.99908	13.00450	5.71654	3.10275	divoced	794-04-3841	6.55991	37.76388	7.00589	37.91636	3.03131	Keith Nunez	1.72742
85	0.00000	7.88232	no	87.43345	6.67124	83.97418	3.18998	3.99263	single	737-13-8917	6.05407	51.72166	7.98334	53.51323	5.81903	Michael Barber	1.54205
86	0.00000	9.00411	no	31.19672	7.24268	57.24137	6.68733	7.53997	single	276-74-5607	6.86084	45.88006	7.79947	47.90123	4.98104	Jamie Jackson	3.47654
87	1.00000	4.49777	no	92.40297	5.57952	71.92992	5.81541	6.03914	married	821-67-7724	7.23210	58.87434	7.32540	62.13784	7.14922	Rebecca Cole	0.22178
88	0.00000	8.12935	no	7.52406	4.90517	88.37902	7.59702	8.92641	married	163-02-9222	6.45281	36.82400	7.80760	51.11508	6.33992	Jenny Lozano	1.46967
89	1.00000	4.51382	no	141.02307	7.11558	45.02201	5.92102	5.65158	single	650-10-1896	7.56914	53.06248	4.47027	60.36751	7.87906	Dominique Wong	0.53147
90	0.00000	8.37751	no	62.06633	6.25731	77.15910	9.59707	6.83390	married	216-50-8143	6.64022	57.79230	8.45384	30.83999	7.06837	Stacey Cuevas	2.06978
91	0.00000	7.85033	no	36.90061	6.06112	77.32235	8.68555	9.81929	divoced	522-28-7272	7.30650	44.73879	5.93538	47.50242	5.57775	Ruth Larsen DDS	1.36140
92	1.00000	6.24177	yes	108.30410	7.57059	70.91711	7.26699	4.09468	married	558-36-9829	7.18552	46.03716	6.36443	58.29282	5.33790	Briana Larson	0.67238
93	0.00000	8.20891	N	48.31621	8.45386	57.61637	5.82926	6.62276	divoced	549-38-3034	7.68492	25.74542	7.74191	62.94446	5.03833	Kathryn Green	1.91023
94	0.00000	9.12941	no	39.59251	7.21124	73.37961	5.29125	5.55021	divoced	769-82-8635	8.74870	37.40364	8.09112	42.14018	5.45200	Sarah Goodman	3.85753
95	1.00000	10.07938	no	41.22417	5.24163	43.32375	7.82860	4.70376	divoced	705-48-8517	7.95093	65.03991	7.10462	84.23993	4.43926	David Davis	8.53039
96	1.00000	8.34095	yes	44.70473	7.64543	67.93310	8.04159	4.31536	married	682-61-2998	8.48969	56.28682	7.78772	50.02560	5.02434	Joshua Fletcher	1.90898
97	0.00000	8.19694	no	83.25339	8.86094	77.29674	6.74990	6.75097	divoced	345-20-9594	6.59080	31.10689	6.84101	70.36340	5.38218	David Jensen	1.67878
98	0.00000	7.87868	no	78.73337	5.74401	72.44191	9.30028	9.10826	widowed	062-75-8564	7.52953	48.64127	6.50894	47.51428	5.44527	John Ramos	1.32705
99	0.00000	9.04973	yes	59.44242	7.57462	82.01405	9.22052	8.65998	widowed	400-35-1575	7.41670	75.19763	7.13971	65.38418	6.99255	Kim Phillips	3.47202
100	0.00000	7.51900	Y	69.02859	8.05397	87.95366	2.50533	2.45475	widowed	411-32-5970	7.97810	62.83624	6.47295	65.26435	6.23829	Mrs. Michelle Ramirez DDS	1.22669
101	1.00000	7.15291	no	25.02640	5.73709	30.18321	9.58596	9.18335	single	678-26-2300	6.44680	38.15956	6.66025	51.34294	8.42561	Peter Johnson	1.27494
102	1.00000	5.63342	no	92.81582	7.35718	85.55096	8.01603	5.22089	single	733-53-2096	6.77773	51.09392	8.81445	53.27150	6.44102	Laurie Allen	0.40059
103	1.00000	5.80512	no	56.13361	8.20441	66.67364	5.60871	3.40793	divoced	143-24-2836	7.54805	45.96113	6.52717	31.91750	7.34376	Cole George	0.72539
104	0.00000	6.01282	no	52.88906	7.52759	4.44458	5.72337	7.13492	single	806-97-1708	6.93081	60.63017	6.71775	63.54163	9.30678	Todd Crosby	0.46403
105	1.00000	8.18029	N	72.13874	9.80639	13.05194	5.45282	5.00651	separated	097-58-6673	8.40888	55.42564	9.47893	24.80683	8.94088	Rhonda Copeland	1.76170
106	0.00000	7.09501	yes	75.80132	6.21159	55.75321	7.37173	9.12601	divoced	512-77-9326	7.57642	59.38762	6.11772	43.95622	4.72246	Zachary Scott	1.19341
107	1.00000	8.86515	N	41.24358	5.38470	49.51735	7.47168	4.65286	married	496-55-2297	5.12823	51.11551	6.30007	52.01133	4.76153	Stacy Joseph	2.94687
108	1.00000	5.80303	Y	64.20499	7.38148	90.49332	7.08700	5.94674	married	032-66-2609	7.96511	83.27984	6.81703	51.75373	5.90536	Alexander Willis	0.75663
109	1.00000	3.56008	yes	30.77677	6.17347	85.78645	5.61842	3.88156	single	246-86-9091	7.95539	43.48293	6.62551	52.42993	6.30574	Michael Holt	0.58028
110	1.00000	3.81188	N	52.83123	7.64546	73.42217	5.84017	4.76013	divoced	590-77-9518	7.27908	51.28734	7.43206	60.56688	7.02533	Angela Mcgee DVM	0.62106
111	0.00000	9.01993	yes	105.08759	6.91877	87.95007	8.91459	6.52930	widowed	817-95-6136	7.00186	53.92014	6.17098	23.95341	5.87630	Jonathan Bray	3.15605
112	1.00000	6.83496	Y	96.36653	7.83324	18.03801	5.82049	4.71551	nop	370-93-6974	6.92516	56.68047	5.85110	61.83609	8.74440	Susan King	0.79420
113	1.00000	9.50301	no	75.44041	7.11487	12.93660	5.41958	4.60066	single	595-72-8727	8.13942	37.57482	7.32980	65.41298	8.85056	David Strong	4.80470
114	0.00000	7.07728	Y	-14.71569	4.17603	38.69171	7.20564	8.20302	divoced	058-15-5275	8.32494	44.67224	7.51066	57.32648	4.49914	Meagan Key	1.01251
115	0.00000	7.51725	no	64.90553	6.62962	28.42138	4.42649	5.68862	divoced	028-10-5599	7.37135	56.67213	7.98736	68.30763	4.26649	Jason Johnson	1.36083
116	1.00000	9.42891	yes	95.71922	6.56424	41.26495	7.90610	4.01726	separated	268-77-9510	5.22103	35.66685	7.33781	60.83563	4.51395	Emma Bush	4.92476
117	0.00000	9.23894	Y	32.50906	6.42133	84.30900	8.10887	5.81330	divoced	228-37-7019	5.34524	46.50558	7.52818	46.86478	6.40344	Heather Sims	3.68977
118	1.00000	5.23459	no	83.80226	5.92949	36.75877	5.79329	5.64476	married	037-96-9645	5.73762	66.90842	6.81413	58.96535	7.99896	Courtney Pope	0.29587
119	0.00000	7.76157	no	25.74615	7.77914	90.24575	6.25899	8.40536	nop	142-39-0444	8.31861	68.76077	6.01343	43.46295	5.90239	Kimberly Perez	1.41839
120	1.00000	4.93661	no	188.93637	6.96336	35.69796	5.90604	6.85578	separated	319-23-4006	6.96274	45.77716	8.13825	64.52266	8.10165	Catherine Woodward	0.78672
121	1.00000	5.28399	no	102.23601	7.77434	61.66067	5.90924	4.96948	divoced	482-62-2262	6.55712	46.53360	6.78324	36.21669	7.59263	Caitlin Avila	0.84249
122	1.00000	6.52291	no	91.51849	6.58885	45.48218	5.62372	4.56556	widowed	449-14-1090	7.94280	51.05455	5.77375	56.97456	7.96841	Nathaniel Robbins	0.43242
123	0.00000	7.16670	no	127.20738	6.92622	86.41554	4.23503	4.03607	separated	066-98-4849	6.70736	28.03439	6.99159	59.62919	6.31719	Tyler Macias	0.94577
124	1.00000	5.93087	yes	45.62873	6.00617	70.87431	5.69773	4.82618	married	433-14-6727	6.36591	53.03881	7.78801	88.11084	7.42025	Patricia Diaz	0.55104
125	0.00000	8.51113	yes	4.49462	7.35357	87.53039	8.43386	8.46236	single	870-24-5670	8.10846	61.26362	6.40552	54.10161	6.41931	Lawrence Turner	1.95204
126	0.00000	7.57780	yes	140.89925	4.47971	78.81839	7.00361	8.75115	married	220-44-4885	6.73686	42.58690	4.35356	95.55298	5.61678	Justin Friedman	0.98341
127	1.00000	5.82364	N	33.81943	5.99771	25.69882	5.77807	6.84934	single	041-29-7959	7.36588	69.69098	8.43203	43.79851	8.37144	Blake Fox	0.63325
128	1.00000	3.80564	no	55.28031	6.62940	39.91919	5.88921	6.48264	divoced	737-13-8917	6.32336	54.57465	5.57011	41.19189	8.29670	Michael Barber	0.70874
129	1.00000	9.29168	yes	40.48052	6.10614	55.46074	9.35967	9.45561	divoced	112-88-5619	5.79683	64.80944	5.77324	66.22593	7.69442	Stephanie Miles	4.11632
130	0.00000	8.66507	no	135.65397	6.74198	88.18439	7.81091	7.63108	divoced	720-51-1483	7.71947	48.25381	5.89706	50.46175	6.52541	Anna Terry	2.43549
131	1.00000	7.55422	Y	86.94703	6.46949	38.93288	5.46851	5.73704	single	205-27-5040	7.01467	79.22823	8.67914	56.65555	8.07134	Christopher Martinez	1.09769
132	0.00000	8.63163	Y	55.40895	6.10817	74.25347	7.51128	6.77482	nop	818-70-6466	5.91543	41.96145	7.96120	48.97125	5.56366	Mario Pena	2.38208
133	1.00000	5.10486	no	67.76288	6.76678	30.32963	5.93208	6.33862	single	637-50-6885	6.66908	46.84186	6.69278	40.92420	8.39015	Brett Alvarado	0.61366
134	1.00000	6.12360	Y	64.74926	7.88532	69.48890	7.66806	3.51894	separated	325-89-4233	7.30158	57.02127	9.28459	44.14960	5.26192	Amy Rivera	0.30624
135	0.00000	9.82927	no	39.09006	6.46341	38.34628	8.25990	7.52333	married	207-39-4274	6.06846	64.49317	6.21833	64.26479	8.11213	Justin Glover	6.99992
136	1.00000	8.77287	Y	84.30226	8.91653	17.10659	7.32327	1.18866	married	775-80-7927	6.05050	44.82787	7.36789	27.25715	3.05295	Jessica Oneill DVM	2.52818
137	1.00000	8.58587	no	39.44301	6.27784	87.01841	8.76764	7.35710	separated	276-74-5607	6.16562	54.58572	5.66310	60.31448	6.75344	Jamie Jackson	2.01874
138	0.00000	7.51969	Y	46.07628	7.70344	80.56772	6.33769	5.83708	single	716-87-1555	8.74063	58.99321	7.88694	53.33141	5.65551	Joseph Harris	1.02401
139	1.00000	7.63942	no	-0.83011	7.73327	79.28863	7.88531	5.20102	married	629-15-1099	6.29662	40.26146	7.51266	31.57012	5.60143	Gordon Good	1.34828
140	1.00000	3.70786	yes	71.95143	6.89277	84.31963	5.71007	5.39253	divoced	009-27-0376	6.81860	65.30699	6.18282	68.35129	6.37767	Joseph Mcdaniel	0.61353
141	1.00000	5.86330	N	141.53861	7.40356	80.28116	5.58487	3.74121	nop	505-75-4248	5.12580	39.82990	7.62149	60.35475	6.87253	Elizabeth Scott	0.41463
142	1.00000	6.21876	no	42.92359	5.77703	83.89886	7.47289	6.69916	widowed	325-34-7870	8.35402	45.60270	7.82595	25.94449	6.27048	James Morris	0.61072
143	1.00000	8.50450	yes	48.98428	7.70482	22.96403	5.47483	6.88549	married	241-28-2743	5.87605	59.03442	8.86602	47.96579	8.74149	James Grant	2.16141
144	1.00000	7.18692	no	8.69159	6.54416	21.61923	5.56738	4.19607	separated	618-36-8323	6.74906	48.82865	5.92879	31.05014	8.62558	John Davis	0.83986
145	0.00000	8.40177	no	77.06259	6.90978	91.67431	8.31302	8.63022	widowed	358-32-6213	6.29827	57.78266	6.34832	62.54460	6.50619	Kelly Price	1.98891
146	1.00000	4.74377	no	51.47387	7.41179	84.73932	5.68671	5.87146	widowed	109-86-6275	6.09766	43.84890	7.07135	51.92160	6.54696	Lisa Munoz	1.03005
147	1.00000	4.83050	no	47.92973	6.16640	58.80256	5.85181	5.99658	single	825-12-0893	8.04123	52.50358	7.65442	45.14483	7.69304	Paul Navarro	0.64924
148	0.00000	6.70569	no	69.61012	6.30688	14.16252	7.81754	7.49904	widowed	050-43-5350	6.58682	38.90665	9.11569	62.26449	3.33193	Craig Miles	0.76493
149	1.00000	8.47855	no	100.57770	6.49244	63.03584	7.93202	4.09560	single	070-94-5040	7.37512	55.83298	6.79763	63.34856	4.91046	Clifford Wilson	2.31095
150	0.00000	7.44128	no	43.54649	6.01544	58.52927	8.51360	9.39905	separated	060-62-9028	7.86249	41.84967	8.46285	36.00219	4.81440	Gregory Benson	1.07541
151	1.00000	6.80245	no	121.37933	6.75648	22.86271	5.74780	4.97718	divoced	599-65-9199	6.75386	60.62861	7.41281	45.18471	8.68837	Cynthia Bennett	0.65078
152	1.00000	5.51628	yes	33.86372	8.27574	14.44601	5.86712	6.75364	separated	734-80-3485	6.49530	57.18561	6.11090	29.59652	8.91602	Brett Owens	0.76555
153	1.00000	7.80897	no	143.95823	7.40669	81.79881	7.85475	6.07844	married	302-91-9222	6.98089	62.34007	7.98547	47.71144	5.88603	Jonathan Nguyen	1.39769
154	1.00000	3.69378	no	90.77546	6.84896	31.88606	5.96545	6.01010	separated	402-66-9520	5.30148	57.67802	5.98038	38.48823	8.23927	Sara Coleman	0.78305
155	1.00000	6.14323	no	70.29944	6.99663	27.95881	5.55088	6.21777	widowed	229-07-6116	5.63100	70.06887	7.51535	55.93465	8.63348	Diane Smith	0.89480
156	1.00000	5.41728	no	111.79901	6.17518	53.67760	5.74434	5.86101	widowed	557-20-9010	6.95223	62.86510	7.22766	49.33700	7.86367	James Gomez	0.77971
157	0.00000	8.43847	no	58.82441	6.12339	55.95610	5.43445	7.08475	separated	625-11-4974	6.29905	43.63702	5.50661	43.18688	4.83415	Andrew Nash	2.08802
